longitude,latitude,created_at,tweet_id,text,score
-73.99768687,40.76391602,"2015-06-07 00:39:53",607346202976354304,"The cutest! Fighting cancer by selling ourselves and our hot bods at a #bachelor #bachelor bidding https://t.co/w8M2Nymt2d",1.0219
-77.41054090,39.41426849,"2015-06-07 00:39:54",607346206562357248,"#Automotive #Job in #Frederick, MD: Master A/C Equipment Mechanic at Clinical Research Management http://t.co/0Rr2pmWrSX #Veterans #Jobs",1.1668
-75.13450000,40.18830109,"2015-06-07 00:39:54",607346209120993280,"Friggen nailed it! Sour Strawberries and cream - Drinking a Strawberry Cream at @theironabbey - http://t.co/rpR24JkW1J",0.9657
-73.90343911,40.74560165,"2015-06-07 00:39:55",607346212686204929,"Got a free footlong with the purchase of two. Wohooo! (@ Subway in Woodside, NY) https://t.co/56RV4BaFXq",1.5790
-73.04707034,41.31982422,"2015-06-07 00:39:57",607346220101697538,"@realdepp its somebody's birthday is it not?",0.6934
-76.44015070,40.33206177,"2015-06-07 00:39:57",607346220705697792,"I want ice cream",0.8368
-74.00232400,40.73030472,"2015-06-07 00:39:57",607346221158662144,"He said I was welcome to browse but could not just sit/read the books. I got so mad that I couldn't speak, left the store/wrote this tweet.",0.5879
-79.16682019,44.43212128,"2015-06-07 00:39:57",607346222010126336,"It's that time of the year  @ Beaverton Harbour https://t.co/xIEuSF0ELh",1.2199
-73.95276804,40.80924606,"2015-06-07 00:39:58",607346222798635008,"Congrats Shantae #GradParty #Harlem @ Dwyer Cultural Center https://t.co/BVXdghdhTI",1.3525
-72.50838330,41.77122498,"2015-06-07 00:39:58",607346225684336641,"'@maniarianna_: These Puerto Ricans across the street love fireworks man.' My white neighbors do to ",1.2432
-73.91826379,40.86084366,"2015-06-07 00:39:59",607346228091875328,"Happy birthday to my nephew Leo @ Sherman Creek Park https://t.co/lqe8ZoSY7h",1.4551
-75.07009870,39.72897339,"2015-06-07 00:39:59",607346228393832449,"Is instagram hurtin ya heart nigga?",0.6588
-75.17318408,39.95351791,"2015-06-07 00:39:59",607346229077540864,"Trying to lose like the guy behind me! @ Downtown Philly https://t.co/g7fA5smjf8",0.6391
-73.72235100,40.71136856,"2015-06-07 00:40:00",607346231128555520,"Keepin' this bad boy 

#triplecrown #americanpharoah #belmontstakes #belmont #newyork @ Belmont https://t.co/lbFweKZsnw",0.5894
-72.27354992,40.94282532,"2015-06-07 00:40:02",607346240947388416," #wolffer #easthampton @ Wolfer Estate https://t.co/nXTSyDb5Z2",1.2699
-84.19554353,39.81782532,"2015-06-07 00:40:04",607346251210891264,"#Hearties wow, that was deep!",1.4489
-77.42040000,39.42630005,"2015-06-07 00:40:04",607346251240194048,"Wedding day win. Gin &amp; tonics and sharing pad thai w/ @ohgollymolly while the kiddos play and https://t.co/xlTZcgeElh",1.5302
-79.07162333,43.25526428,"2015-06-07 00:40:05",607346255124172800,"Three generations and wine tastings  @ Wine Country Vintners https://t.co/wjCMA5lwxC",1.3513
-86.18438875,41.65449524,"2015-06-07 00:40:05",607346255153516544,"@_Lysergiaa damnn wanted to make a trip to the chi",0.7515
-77.00894520,38.55947876,"2015-06-07 00:40:06",607346256013357057,"Maryland Rockets 37, Germantown Heat-B 22, 8th Grade - Pool (D) #BALLOUTCLASSIC @exposurebball",1.2294
-74.18624789,39.63055420,"2015-06-07 00:40:06",607346256164352000,"'Me deixaaaa que hoje eu to bobeira'  #LBI #girlstrip #bacholorette #orappa @ On The Beach, LBI https://t.co/ND1rqRWwYt",1.7132
-71.15818094,42.26339340,"2015-06-07 00:40:06",607346258865487872,"I survived sharknado. #NightNation gustopolis  @ Brockton Fair Grounds https://t.co/RpZd0xoAjO",1.5002
-74.00906574,40.71557999,"2015-06-07 00:40:07",607346260434132992,"#nyc street #performance #hiphop #tourist #bigapple #art #fun #crazy @ Chambers Street https://t.co/agkYIl2WJV",1.4823
